"client","route","role","screen","source","backend_dependency","loading_state","populated_state","empty_state","offline_state","validation_state","unauthorized_state","recoverable_error_state","success_state","primary_actions","current_test_coverage"
"flutter_android_authoritative","/guardian/home","guardian","RoleHomeScreen","flutter_mort/lib/features/mort_screens.dart","missionPilotRepositoryProvider; authRepositoryProvider; profileRepositoryProvider; jobsRepositoryProvider; applicationsRepositoryProvider; uploadsRepositoryProvider; messagingRepositoryProvider; safetyRepositoryProvider; notificationsRepositoryProvider; adminRepositoryProvider; guardianRepositoryProvider; monetizationRepositoryProvider","detected","detected","detected","not_detected","detected","route_guard_detected","detected","detected","Enter MORT; Sign in; MORT; A darker, cleaner local hustle app for teens, adults, guardians, and safety moderation.; Free safety tools stay free; Create account; Read teen safety; MORT cannot connect right now; Close and reopen the app, then try again. Contact MORT Support if the problem continues.; Connection required; MORT is paused safely; Marketplace and account actions are temporarily unavailable while safety or reliability work is completed.","no_direct_static_reference"
"flutter_android_authoritative","/guardian/linked-teens","guardian","GuardianModeScreen","flutter_mort/lib/features/guardian/guardian_mode_screens.dart","guardianRepositoryProvider","detected","detected","detected","not_detected","detected","route_guard_detected","detected","detected","Guardian setup is optional; Guardian linking is designed for teen accounts. You can manage your own Guardian Mode connections later in Settings.; Continue to safety; Add a guardian? Optional.; Guardian Mode can share selected safety alerts and check-ins with someone you trust. You can skip this and set it up later.; Guardian email (optional); Link a guardian now; Send an invite; Use an invite code; Continue; Skip for now; Unlink this guardian?","no_direct_static_reference"
"flutter_android_authoritative","/guardian/permissions","guardian","GuardianModeScreen","flutter_mort/lib/features/guardian/guardian_mode_screens.dart","guardianRepositoryProvider","detected","detected","detected","not_detected","detected","route_guard_detected","detected","detected","Guardian setup is optional; Guardian linking is designed for teen accounts. You can manage your own Guardian Mode connections later in Settings.; Continue to safety; Add a guardian? Optional.; Guardian Mode can share selected safety alerts and check-ins with someone you trust. You can skip this and set it up later.; Guardian email (optional); Link a guardian now; Send an invite; Use an invite code; Continue; Skip for now; Unlink this guardian?","no_direct_static_reference"
"flutter_android_authoritative","/guardian/safety-pings","guardian","GuardianSafetyPingsScreen","flutter_mort/lib/features/guardian/guardian_safety_pings_screen.dart","safetyRepositoryProvider","detected","detected","detected","not_detected","not_detected","route_guard_detected","detected","not_detected","Safety pings; Only pings from actively linked teens with Safety Ping sharing enabled are visible here.; Safety pings unavailable; Retry; No shared safety pings","flutter_mort/test/notification_destination_test.dart"
"flutter_android_authoritative","/guide","authenticated_or_public","MortGuideView","flutter_mort/lib/features/guide/mort_guide_screens.dart","mortGuideRepositoryProvider","detected","detected","detected","not_detected","not_detected","route_guard_detected","detected","detected","Ask MORT Guide; Opening MORT Guide...; MORT Guide; Ask about MORT, jobs, applications, contracts, payments, reports, or account controls.; MORT Guide could not answer; Ask a MORT question; Send; Privacy; Human support; Open Safety Center; Manage history; MORT Guide history","flutter_mort/test/mort_guide_contract_test.dart; flutter_mort/test/safe_uri_test.dart"
"flutter_android_authoritative","/guide/conversation/:conversationId","authenticated_or_public","MortGuideView","flutter_mort/lib/features/guide/mort_guide_screens.dart","mortGuideRepositoryProvider","detected","detected","detected","not_detected","not_detected","route_guard_detected","detected","detected","Ask MORT Guide; Opening MORT Guide...; MORT Guide; Ask about MORT, jobs, applications, contracts, payments, reports, or account controls.; MORT Guide could not answer; Ask a MORT question; Send; Privacy; Human support; Open Safety Center; Manage history; MORT Guide history","flutter_mort/test/mort_guide_contract_test.dart"
"flutter_android_authoritative","/guide/delete-history","authenticated_or_public","MortGuideDeleteHistoryView","flutter_mort/lib/features/guide/mort_guide_screens.dart","mortGuideRepositoryProvider","detected","detected","detected","not_detected","not_detected","route_guard_detected","detected","detected","Ask MORT Guide; Opening MORT Guide...; MORT Guide; Ask about MORT, jobs, applications, contracts, payments, reports, or account controls.; MORT Guide could not answer; Ask a MORT question; Send; Privacy; Human support; Open Safety Center; Manage history; MORT Guide history","flutter_mort/test/mort_guide_contract_test.dart"
"flutter_android_authoritative","/guide/history","authenticated_or_public","MortGuideHistoryView","flutter_mort/lib/features/guide/mort_guide_screens.dart","mortGuideRepositoryProvider","detected","detected","detected","not_detected","not_detected","route_guard_detected","detected","detected","Ask MORT Guide; Opening MORT Guide...; MORT Guide; Ask about MORT, jobs, applications, contracts, payments, reports, or account controls.; MORT Guide could not answer; Ask a MORT question; Send; Privacy; Human support; Open Safety Center; Manage history; MORT Guide history","flutter_mort/test/mort_guide_contract_test.dart; flutter_mort/test/safe_uri_test.dart"
"flutter_android_authoritative","/jobs/progress/:applicationId","authenticated_or_public","JobProgressScreen","flutter_mort/lib/features/jobs/job_progress_screen.dart","jobExecutionRepositoryProvider","detected","detected","detected","not_detected","detected","route_guard_detected","detected","detected","Report person mismatch?; Request job cancellation; Factual cancellation reason; Report possible abandonment; What happened?; Loading server job progress...; Job progress unavailable; Retry; Job progress; Agreement, funding, in-person handoff, completion review, and payment release stay separate.; Job tools; Messages","flutter_mort/test/job_progress_widget_test.dart"
"flutter_android_authoritative","/legal-center","authenticated_or_public","LegalCenterScreen","flutter_mort/lib/features/legal/legal_screens.dart","legalContractRepositoryProvider","detected","detected","detected","not_detected","detected","route_guard_detected","detected","detected","Exact versions, affirmative choices; Browsing MORT never creates acceptance. Only a published, effective, exact-hash version can be accepted.; Legal requirements unavailable; No approved clickwrap is published; Teen plain-language summary; Teen terms summary; This draft summary helps with understanding. It does not replace the full agreement or attorney review.; Acceptance is never inferred from opening, scrolling, or using MORT.; Exact version unavailable; Electronic signature name; Accept exact version","no_direct_static_reference"
